stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,stop_timezone,location_type,parent_station
ROME2869,73587,"Magliano Sabina/Forano","25 M.DOPO LARGO FORANO ALTEZZA CIVICO 41",41.934757,12.511358,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2870,73588,"Priscilla","",41.931732,12.511720,"",,,
ROME2871,73589,"Novella/Acilia","",41.929291,12.511968,"",,,
ROME2872,73592,"Tagliamento/Chiana","",41.921482,12.504995,"",,,
ROME2873,73593,"P.le Ostiense","",41.875908,12.481872,"",,,
ROME2874,73594,"Tagliamento/Clitunno","",41.920300,12.503295,"",,,
ROME2875,73595,"Buenos Aires","",41.918461,12.500617,"",,,
ROME2876,73596,"Po/Simeto","",41.916824,12.498310,"",,,
ROME2877,73597,"Boncompagni/Abruzzi","",41.908115,12.492512,"",,,
ROME2878,73598,"Giustiniano","10 M. PRIMA VIA GOZZI",41.856548,12.478591,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2879,73599,"Giustiniano/Settimio Severo","40 M. DOPO VIA SETTIMIO SEVERO",41.856075,12.482186,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2880,73600,"Giustiniano/Villa Lucina","25 M. PRIMA VIA VILLA LUCINA FRONTE CIVICO 151",41.855843,12.483816,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME9271,73601,"Severo/Villa Lucina","20 M. DOPO SBOCCO VIA VILLA LUCINA FRONTE CIVICO 79",41.854446,12.484231,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2881,73602,"Tiberio Imperatore","38 M. DOPO VIA SEVERO",41.853336,12.486227,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2882,73603,"Domiziano","20 M. DOPO L.GO FLAVIO DOMIZIANO PRIMA CIVICO 15",41.851521,12.485081,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2883,73604,"Leonori","40 M. DOPO VIA C.COLOMBO PRIMA CIVICO 8",41.850567,12.486332,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2884,73606,"Grotta Perfetta/P. Mirandola","",41.847069,12.488202,"",,,
ROME2885,73607,"Grotta Perfetta/Ciaffi","",41.844887,12.490807,"",,,
ROME2886,73608,"Grotta Perfetta/Shaw","",41.840168,12.503140,"",,,
ROME2887,73609,"Grotta Perfetta/Moliere","",41.839546,12.504925,"",,,
ROME2888,73610,"Grotta Perfetta/Calderon Barca","20 M.DOPO SBOCCO VIA VALLE DEL GROTTONE FRONTE CIVICO 543/A",41.837425,12.508246,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2889,73612,"Grotta Perfetta/Granai Nerva","60 M. DOPO VIA DEI GRANAI DI NERVA PRIMA CIVICO 566",41.834885,12.511828,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2890,73615,"Grotta Perfetta/Spalla","20 M. PRIMA VIA ERMINIO SPALLA",41.832611,12.514676,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2891,73616,"Grotta Perfetta/Ardeatina","",41.830784,12.516542,"",,,
ROME2892,73617,"Boncompagni/Marche","",41.907692,12.490988,"",,,
ROME2893,73618,"Ardeatina/Millevoi","",41.817364,12.522280,"",,,
ROME2894,73619,"Boncompagni/Piemonte","",41.908409,12.494052,"",,,
ROME2895,73620,"Ardeatina/Fosso Cecchignola","5 M. PRIMA CIVICO 620",41.814308,12.523429,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2896,73621,"Ardeatina/Tor Pagnotta","80 M. DOPO VIA TOR PAGNOTTA",41.809071,12.529472,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2897,73622,"Ardeatina/Casali Cornacchiole","80 M. DOPO CIVICO 832",41.804916,12.534395,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2898,73623,"Ardeatina/Centro Del Bivio","15 M. PRIMA DI VIA CENTRO DEL BIVIO",41.801052,12.536487,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2899,73624,"FIUME","",41.910839,12.498187,"",,,
ROME2900,73625,"Ardeatina/G.r.a.","50 M. DOPO CIVICO 940 ALTEZZA VOLVO",41.798512,12.535363,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2902,73628,"Stazione Saxa Rubra","",41.974613,12.494788,"",,,
ROME2903,73629,"Buenos Aires","",41.917786,12.499883,"",,,
ROME2907,73637,"Sebino","",41.922169,12.505998,"",,,
ROME2910,73640,"Nemorense/Crati","",41.927040,12.510735,"",,,
ROME2913,73643,"Nemorense/Acilia","",41.928574,12.512207,"",,,
ROME2915,73645,"Priscilla","",41.931293,12.511492,"",,,
ROME2920,73650,"Piramide","",41.875919,12.481738,"",,,
ROME2927,73657,"Ballarin/Maroso","",41.839531,12.489992,"",,,
ROME2931,73662,"Tagliamento/Clitunno","",41.919861,12.502868,"",,,
ROME2935,73669,"Ardeatina/G.r.a.","20 M. PRIMA FRONTE CIVICO 940 FRONTE VOLVO",41.798508,12.535463,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2936,73670,"Ardeatina/Centro Del Bivio","70 M. PRIMA VIA DELLE CORNACCHIE DOPO CIVICO 931",41.801872,12.536453,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2937,73671,"Ardeatina/Casali Cornacchiole","30 M. PRIMA FRONTE CIVICO 832",41.805347,12.534192,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2938,73672,"Ardeatina/Tor Pagnotta","45 M. DOPO SBOCCO VIA TOR PAGNOTTA ALTEZZA CIVICO 783",41.810032,12.528850,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2939,73673,"Ardeatina/Millevoi","",41.817654,12.522370,"",,,
ROME2940,73674,"Grotta Perfetta/Ardeatina","",41.830475,12.517030,"",,,
ROME2941,73675,"Grotta Perfetta/Spalla","150 M. DOPO SBOCCO VIA ERMINIO SPALLA",41.833519,12.513994,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2942,73676,"Grotta Perfetta/Granai Nerva","105 M. DOPO VICOLO DELL'ANNUNZIATELLA PRIMA FR.CIVICO 556",41.836117,12.510121,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2943,73677,"Grotta Perfetta/Calderon Barca","20 M. PRIMA VIA CALDERON DELLA BARCA DOPO CIVICO 541",41.837772,12.507995,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2944,73678,"Grotta Perfetta/Moliere","",41.840023,12.504263,"",,,
ROME2945,73679,"Grotta Perfetta/Shaw","",41.840649,12.501408,"",,,
ROME2946,73680,"Grotta Perfetta/Ciaffi","",41.845310,12.490572,"",,,
ROME2947,73681,"Grotta Perfetta/P. Mirandola","",41.847023,12.488510,"",,,
ROME2948,73682,"Ambrosini/Leonori","40 M. DOPO VIA GROTTA PERFETTA FRONTE CIVICO 5",41.847698,12.488443,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2949,73683,"Ambrosini/Accademia Platonica","25 M. DOPO VIA ACCADEMIA PLATONICA ALTEZZA CIVICO 96",41.849007,12.490250,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2950,73684,"Accademia Agiati/Ambrosini","45 M. DOPO VIA AMBROSINI ALTEZZA CIVICO 77",41.850391,12.490966,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2952,73686,"Accademia Agiati/Colombo","60 M. PRIMA VIA CRISTOFORO COLOMBO",41.852039,12.488831,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2953,73687,"Tito","30 M. DOPO VIA ALESSANDRO SEVERO",41.853901,12.487243,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2955,73690,"Giustiniano/Villa Lucina","45 M. DOPO VIA VILLA LUCINA DOPO CIVICO 151",41.856174,12.483678,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2956,73691,"Giustiniano/Settimio Severo","25 M. PRIMA LGO LEONARDO DA VINCI ALTEZZA CIVICO 59",41.856510,12.481268,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2957,73692,"Giustiniano","20 M. PRIMA VICOLO GROTTA PERFETTA ALTEZZA CIV.39",41.856819,12.479418,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2958,73693,"Ostiense/Prefettura","",41.865566,12.479173,"",,,
ROME2959,73694,"Nemorense/Crati","",41.927197,12.510687,"",,,
ROME2961,73696,"Vescovio","",41.933369,12.512372,"",,,
ROME2964,73699,"De Nicola/Termini","",41.902721,12.499617,"",,,
ROME2970,73709,"Po/Simeto","",41.916386,12.497893,"",,,
ROME2976,73724,"Imer/Baseggio","",41.967312,12.532608,"",,,
ROME2977,73725,"Anselmi","",41.965912,12.531727,"",,,
ROME2980,73728,"Vigne Nuove/De Liguoro","",41.963341,12.535708,"",,,
ROME2981,73729,"Vigne Nuove/Pasinetti","",41.961227,12.536060,"",,,
ROME2982,73732,"Vigne Nuove/Cadibona","",41.953690,12.535945,"",,,
ROME2984,73734,"Conti/Monte Massico","160 M. PRIMA SBOCCO VIA MONTE MASSICO DOPO FRONTE CIVICO 40",41.952358,12.528711,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2985,73735,"Monte Massico","90 M. PRIMA VIA MONTE CERVIALTO",41.950974,12.527226,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2987,73738,"Val Di Lanzo/Valle Scrivia","",41.943089,12.525230,"",,,
ROME2988,73739,"Val Di Lanzo/Casale Giuliani","",41.944176,12.523597,"",,,
ROME2989,73740,"Val Di Lanzo","",41.945377,12.521675,"",,,
ROME9709,73741,"Prati Fiscali/Val Di Sangro","",41.945972,12.521858,"",,,
ROME2990,73742,"P.le Jonio","",41.945854,12.526263,"",,,
ROME2992,73744,"Monte Rocchetta/Monte Croce","25 M. DOPO VIA MONTE CROCE FRONTE CIVICO 40",41.946709,12.531647,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2993,73745,"Monte Massico","",41.950779,12.527430,"",,,
ROME2994,73746,"Conti/Monte Massico","",41.952545,12.529408,"",,,
ROME2995,73747,"De Curtis/Galli","",41.954285,12.533510,"",,,
ROME2996,73748,"De Curtis/Vigne Nuove","",41.953636,12.535093,"",,,
ROME2997,73749,"Vigne Nuove/Limbara","",41.956940,12.535782,"",,,
ROME3000,73752,"Vigne Nuove/Pasinetti","",41.961544,12.536273,"",,,
ROME3001,73753,"Vigne Nuove/De Liguoro","",41.964020,12.535885,"",,,
ROME3002,73755,"Jonio","75 M. DOPO VIA VEGLIA  ALT.CIVICO 359",41.945679,12.528706,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME3008,73761,"Della Seta U.","",41.961987,12.525772,"",,,
ROME3009,73762,"Talli/De Angelis","",41.964558,12.524003,"",,,
ROME3010,73763,"Talli/Morelli","",41.964989,12.521498,"",,,
ROME3011,73764,"Talli/Benti Bulgarelli","",41.964924,12.518950,"",,,
ROME3012,73765,"Cavalieri/Carnabuci","",41.966278,12.513457,"",,,
ROME3013,73766,"Cavalieri/Pacchiarotti","",41.964058,12.513377,"",,,
ROME3014,73768,"De Filippo/Pilotto","",41.965942,12.517280,"",,,
ROME3015,73769,"De Filippo/Elmo","",41.967167,12.516118,"",,,
ROME3016,73770,"De Filippo/Pica","",41.968719,12.516810,"",,,
ROME3018,73772,"Russolillo/Labia","75 M. DOPO L.GO F.LABIA ALTEZZA CIVICO 53",41.970573,12.517594,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
