stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding,stop_timezone,location_type,parent_station
ROME1460,71769,Sartirana,"25 M. DOPO VIA BREDA PRIMA FRONTE CIVICO 3",41.858170,12.644317,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1461,71771,Del Capo G./Acquaviva Delle Fonti,"40 M. DOPO VIA DEL TORRACCIO DOPO CIVICO 121",41.854439,12.651094,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1462,71772,Del Capo G./Campi Salentina,"70 M. DOPO VIA CAMPI SALENTINA PRIMA CIVICO 65",41.855263,12.652811,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1463,71773,Del Capo G./Due Torri,"30 M. PRIMA VIA DUE TORRI PRIMA CIVICO 5",41.856281,12.655408,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1465,71777,Ardeatina/Fotografia,"30 M. PRIMA SBOCCO VIA DELLA FOTOGRAFIA",41.839329,12.518091,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1468,71780,Torraccio Torrenova/Sabbadini,"60 M. DOPO VIA CASCIANI PRIMA CIVICO 26",41.865028,12.630690,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1469,71781,P.za Torraccio Torrenova,"ALTEZZA SBOCCO VIA C.SARACENI DOPO CIVICO 22",41.867531,12.626924,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1470,71782,Torraccio Torrenova/Pozzi,"30 M. DOPO VIA POZZI DOPO CIVICO 128/A",41.869747,12.624116,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1471,71783,Torraccio Torrenova/Chiari,"40 M. DOPO VIA CHIARI PRIMA CIVICO 182",41.872093,12.621107,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1505,71825,Romanisti/Torre Spaccata,"65 M. DOPO VIA TORRE SPACCATA ALTEZZA CIVICO 10",41.865425,12.585655,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1506,71826,Romanisti/Berneri,"25 M. DOPO VIA BERNERI PRIMA CIVICO 20",41.865509,12.584400,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1523,71854,S. Giovanni La Punta,"20 M. PRIMA VIA S.GREGORIO DI CATANIA PR.FR.CIV.28",41.879032,12.646900,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1524,71855,S. Gregorio Di Catania,"50 M. PRIMA SBOCCO S.CONO DOPO FRONTE CIVICO 72",41.877796,12.648169,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1525,71856,Siculiana/S. Cono,"40 M. DOPO VIA S.CONO FRONTE CIVICO 220",41.877453,12.649657,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1526,71859,Siculiana/Sambuca Di Sicilia,"30 M. PRIMA SBOCCO VIA SAMBUCA DI SICILIA",41.872726,12.653036,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1527,71860,Siculiana/Termini Imerese,"25 M.DOPO SB. VIA TERMINI IMERESE PR.FR.CIV.114",41.869804,12.655492,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1528,71861,Siculiana/Pettineo,"25 M. PRIMA SBOCCO VIA PETTINEO DOPO FRONTE CIV.78",41.868401,12.657230,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1529,71862,Fontana Candida,"100 M. DOPO SBOCCO VIA BUSCEMI DOPO CIVICO 54",41.867313,12.657375,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1530,71863,Partanna/Valledolmo,"20 M. PRIMA SBOCCO VIA PARTINICO PRIMA CIVICO 79",41.867672,12.655043,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1531,71864,Partanna/Pozzallo,"20 M. DOPO VIA POZZALLO FRONTE CIVICO 65",41.866833,12.654324,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1532,71865,De Ferrari/Dell'acqua,"20 M. DOPO VIA E.DELL'ACQUA PRIMA CIVICO 111",41.864403,12.651172,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1533,71866,De Ferrari/Marabini,"30 M. DOPO VIA MARABINI PRIMA CIVICO 69",41.863495,12.649714,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1534,71867,Acquaroni/Amaretta,"20 M. PRIMA VIA AMARETTA ALTEZZA CIVICO 127",41.863571,12.646850,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1535,71869,Acquaroni/Fuoco Sacro,"30 M. PRIMA SBOCCO VIA DEL FUOCO SACRO FRONTE CIVICO 78",41.865845,12.644330,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1543,71888,Gemona/Monti Valchetta,"50 M. DOPO VIA MONTI DELLA VALCHETTA",41.994301,12.485220,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1545,71890,Gemona/Lusevera,"35 M. DOPO SBOCCO VIA LUSEVERA",41.993412,12.481581,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
ROME1546,71892,Magnano In Riviera,"35 M. PRIMA VIA CLAUZETTO",41.994865,12.480506,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
