route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
M05,OP1,M05,,3,,,
M20,OP1,M20,,3,,,
M30,OP1,M30,,3,,,
M50,OP1,M50,,3,,,
n11,OP1,n11,,3,,,
n5,OP1,n5,,3,,,
n8,OP1,n8,,3,,,
P02,OP1,P02,,3,,,
P03,OP1,P03,,3,,,
P10,OP1,P10,,3,,,
P20,OP1,P20,,3,,,
P30,OP1,P30,,3,,,
T01,OP1,T01,,3,,,
T02,OP1,T02,,3,,,
T10,OP1,T10,,3,,,
T20,OP1,T20,,3,,,
020,OP1,020,,3,,,
100,OP1,100,,3,,,
188,OP1,188,,3,,,
8BUS,OP1,8BUS,,3,,,
544,OP1,544,,3,,,
350,OP1,350,,3,,,
043,OP1,043,,3,,,
313,OP1,313,,3,,,
120F,OP1,120F,,3,,,
150F,OP1,150F,,3,,,
180F,OP1,180F,,3,,,
190F,OP1,190F,,3,,,
113,OP1,113,,3,,,
075,OP1,075,,3,,,
246P,OP1,246P,,3,,,
336,OP1,336,,3,,,
351,OP1,351,,3,,,
435,OP1,435,,3,,,
82,OP1,82,,3,,,
83,OP1,83,,3,,,
89,OP1,89,,3,,,
515,OP1,515,,3,,,
731,OP1,731,,3,,,
RMG,OP1,RMG,,0,,,
319,OP1,319,,3,,,
51,OP1,51,,3,,,
669,OP1,669,,3,,,
723,OP1,723,,3,,,
788,OP1,788,,3,,,
RMVT,OP1,RMVT,,0,,,
50,OP1,50,,3,,,
792,OP1,792,,3,,,
881,OP1,881,,3,,,
983,OP1,983,,3,,,
107,OP1,107,,3,,,
047,OP1,047,,3,,,
66,OP1,66,,3,,,
RL,OP1,RL,,0,,,
068,OP1,068,,3,,,
720,OP1,720,,3,,,
795,OP1,795,,3,,,
520,OP1,520,,3,,,
718,OP1,718,,3,,,
77,OP1,77,,3,,,
F02,OP1,F02,,3,,,
F20,OP1,F20,,3,,,
72,OP1,72,,3,,,
73,OP1,73,,3,,,
073,OP1,073,,3,,,
74,OP1,74,,3,,,
nMA,OP1,nMA,,3,,,
nMB,OP1,nMB,,3,,,
nMB1,OP1,nMB1,,3,,,
nME,OP1,nME,,3,,,
n551,OP1,n551,,3,,,
nMC,OP1,nMC,,3,,,
n041,OP1,n041,,3,,,
n075,OP1,n075,,3,,,
n200,OP1,n200,,3,,,
n201,OP1,n201,,3,,,
n3d,OP1,n3d,,3,,,
n3s,OP1,n3s,,3,,,
n409,OP1,n409,,3,,,
n46,OP1,n46,,3,,,
n500,OP1,n500,,3,,,
n543,OP1,n543,,3,,,
n66,OP1,n66,,3,,,
n70,OP1,n70,,3,,,
n705,OP1,n705,,3,,,
n716,OP1,n716,,3,,,
n719,OP1,n719,,3,,,
n74,OP1,n74,,3,,,
n781,OP1,n781,,3,,,
n90,OP1,n90,,3,,,
n904,OP1,n904,,3,,,
n913,OP1,n913,,3,,,
n92,OP1,n92,,3,,,
n98,OP1,n98,,3,,,
990L,OP1,990L,,3,,,
344,OP1,344,,3,,,
424,OP1,424,,3,,,
045,OP1,045,,3,,,
713,OP1,713,,3,,,
MA,OP1,MA,,3,,,
248,OP1,MEA,Metro A,1,http://muovi.roma.it/percorso/js?query=MEA&cl=1,,
249,OP1,MEB,Metro B,1,http://muovi.roma.it/percorso/js?query=MEB&cl=1,,
5315,OP2,054,,3,http://muovi.roma.it/percorso/js?query=054&cl=1,,
305,OP1,MEB1,Metro B1,1,http://muovi.roma.it/percorso/js?query=MEB1&cl=1,,
340,OP2,048,,3,http://muovi.roma.it/percorso/js?query=048&cl=1,,
342,OP1,MEC,Metro C,1,http://muovi.roma.it/percorso/js?query=MEC&cl=1,,
1156,OP2,074,,3,http://muovi.roma.it/percorso/js?query=074&cl=1,,
3994,OP2,024,,3,http://muovi.roma.it/percorso/js?query=024&cl=1,,
10,OP2,025,,3,http://muovi.roma.it/percorso/js?query=025&cl=1,,
11,OP2,030,,3,http://muovi.roma.it/percorso/js?query=030&cl=1,,
4192,OP2,035,,3,http://muovi.roma.it/percorso/js?query=035&cl=1,,
24,OP2,023,,3,http://muovi.roma.it/percorso/js?query=023&cl=1,,
143,OP2,710,,3,http://muovi.roma.it/percorso/js?query=710&cl=1,,
3631,OP2,C19,,3,http://muovi.roma.it/percorso/js?query=C19&cl=1,,
4885,OP2,146,,3,http://muovi.roma.it/percorso/js?query=146&cl=1,,
241,OP2,033,,3,http://muovi.roma.it/percorso/js?query=033&cl=1,,
793,OP2,C6,,3,http://muovi.roma.it/percorso/js?query=C6&cl=1,,
4193,OP2,663,,3,http://muovi.roma.it/percorso/js?query=663&cl=1,,
13,OP2,017,,3,http://muovi.roma.it/percorso/js?query=017&cl=1,,
252,OP2,C1,,3,http://muovi.roma.it/percorso/js?query=C1&cl=1,,
254,OP2,027,,3,http://muovi.roma.it/percorso/js?query=027&cl=1,,
4918,OP2,013,,3,http://muovi.roma.it/percorso/js?query=013&cl=1,,
258,OP2,059,,3,http://muovi.roma.it/percorso/js?query=059&cl=1,,
260,OP2,013D,,3,http://muovi.roma.it/percorso/js?query=013D&cl=1,,
261,OP2,808,,3,http://muovi.roma.it/percorso/js?query=808&cl=1,,
250,OP2,051,,3,http://muovi.roma.it/percorso/js?query=051&cl=1,,
4489,OP2,053,,3,http://muovi.roma.it/percorso/js?query=053&cl=1,,
5314,OP2,037,,3,http://muovi.roma.it/percorso/js?query=037&cl=1,,
4357,OP2,787,,3,http://muovi.roma.it/percorso/js?query=787&cl=1,,
271,OP2,086,,3,http://muovi.roma.it/percorso/js?query=086&cl=1,,
272,OP2,088,,3,http://muovi.roma.it/percorso/js?query=088&cl=1,,
347,OP2,505,,3,http://muovi.roma.it/percorso/js?query=505&cl=1,,
277,OP2,041,,3,http://muovi.roma.it/percorso/js?query=041&cl=1,,
4456,OP2,041F,,3,http://muovi.roma.it/percorso/js?query=041F&cl=1,,
2971,OP2,028,,3,http://muovi.roma.it/percorso/js?query=028&cl=1,,
281,OP2,657,,3,http://muovi.roma.it/percorso/js?query=657&cl=1,,
