service_id,date,exception_type
1#38,20220513,1
1#42,20220513,1
1#47,20220513,1
1#48,20220513,1
1#49,20220513,1
1#56,20220513,1
1#58,20220513,1
1#61,20220513,1
1#62,20220513,1
1#74,20220513,1
1#81,20220513,1
1#82,20220513,1
1#84,20220513,1
1#85,20220513,1
1#87,20220513,1
1#88,20220513,1
1#90,20220513,1
1#92,20220513,1
1#4,20220514,1
1#5,20220514,1
1#7,20220514,1
1#8,20220514,1
1#9,20220514,1
1#10,20220514,1
1#13,20220514,1
1#19,20220514,1
1#20,20220514,1
1#24,20220514,1
1#25,20220514,1
1#27,20220514,1
1#30,20220514,1
1#34,20220514,1
1#37,20220514,1
1#41,20220514,1
1#42,20220514,1
1#48,20220514,1
1#49,20220514,1
1#54,20220514,1
1#57,20220514,1
1#59,20220514,1
1#60,20220514,1
1#64,20220514,1
1#66,20220514,1
1#70,20220514,1
1#71,20220514,1
1#80,20220514,1
1#83,20220514,1
1#85,20220514,1
1#89,20220514,1
1#91,20220514,1
1#93,20220514,1
1#2,20220515,1
1#12,20220515,1
1#14,20220515,1
1#15,20220515,1
1#16,20220515,1
1#17,20220515,1
1#22,20220515,1
1#30,20220515,1
1#31,20220515,1
1#32,20220515,1
1#33,20220515,1
1#35,20220515,1
1#39,20220515,1
1#42,20220515,1
1#43,20220515,1
1#48,20220515,1
1#51,20220515,1
1#52,20220515,1
1#53,20220515,1
1#57,20220515,1
1#63,20220515,1
1#68,20220515,1
1#72,20220515,1
1#75,20220515,1
1#78,20220515,1
1#85,20220515,1
1#6,20220516,1
1#8,20220516,1
1#11,20220516,1
1#18,20220516,1
1#21,20220516,1
1#23,20220516,1
1#24,20220516,1
1#25,20220516,1
1#26,20220516,1
1#28,20220516,1
1#29,20220516,1
1#32,20220516,1
1#38,20220516,1
1#42,20220516,1
1#47,20220516,1
1#48,20220516,1
1#49,20220516,1
1#50,20220516,1
1#55,20220516,1
1#56,20220516,1
1#58,20220516,1
1#62,20220516,1
1#67,20220516,1
1#73,20220516,1
1#79,20220516,1
1#85,20220516,1
1#6,20220517,1
1#8,20220517,1
1#11,20220517,1
1#18,20220517,1
1#21,20220517,1
1#23,20220517,1
1#24,20220517,1
1#25,20220517,1
1#26,20220517,1
1#28,20220517,1
1#29,20220517,1
1#32,20220517,1
1#38,20220517,1
1#42,20220517,1
1#47,20220517,1
1#48,20220517,1
1#49,20220517,1
1#50,20220517,1
1#55,20220517,1
1#56,20220517,1
1#58,20220517,1
1#62,20220517,1
1#67,20220517,1
1#74,20220517,1
1#79,20220517,1
1#85,20220517,1
1#6,20220518,1
1#8,20220518,1
1#11,20220518,1
1#18,20220518,1
1#21,20220518,1
1#23,20220518,1
1#24,20220518,1
1#25,20220518,1
1#26,20220518,1
1#28,20220518,1
1#29,20220518,1
1#32,20220518,1
1#38,20220518,1
1#42,20220518,1
1#47,20220518,1
1#48,20220518,1
1#49,20220518,1
1#50,20220518,1
1#55,20220518,1
1#56,20220518,1
1#58,20220518,1
1#62,20220518,1
1#67,20220518,1
1#74,20220518,1
1#79,20220518,1
1#85,20220518,1
1#6,20220519,1
1#8,20220519,1
1#11,20220519,1
1#18,20220519,1
1#21,20220519,1
1#23,20220519,1
1#24,20220519,1
1#25,20220519,1
1#26,20220519,1
1#28,20220519,1
1#29,20220519,1
1#32,20220519,1
1#38,20220519,1
1#42,20220519,1
1#47,20220519,1
1#48,20220519,1
1#49,20220519,1
1#50,20220519,1
1#55,20220519,1
1#56,20220519,1
1#58,20220519,1
1#62,20220519,1
1#67,20220519,1
1#74,20220519,1
1#79,20220519,1
1#85,20220519,1
1#3,20220520,1
1#6,20220520,1
1#8,20220520,1
1#11,20220520,1
1#18,20220520,1
1#21,20220520,1
1#23,20220520,1
1#24,20220520,1
1#25,20220520,1
1#26,20220520,1
1#28,20220520,1
1#29,20220520,1
1#36,20220520,1
1#38,20220520,1
1#42,20220520,1
1#47,20220520,1
1#48,20220520,1
1#49,20220520,1
1#56,20220520,1
1#58,20220520,1
1#61,20220520,1
1#62,20220520,1
1#74,20220520,1
1#81,20220520,1
1#82,20220520,1
1#84,20220520,1
1#85,20220520,1
1#87,20220520,1
1#88,20220520,1
1#90,20220520,1
1#92,20220520,1
1#4,20220521,1
1#5,20220521,1
1#7,20220521,1
1#8,20220521,1
1#9,20220521,1
1#10,20220521,1
1#13,20220521,1
1#19,20220521,1
1#20,20220521,1
1#24,20220521,1
1#25,20220521,1
1#27,20220521,1
1#30,20220521,1
1#34,20220521,1
1#37,20220521,1
1#41,20220521,1
1#42,20220521,1
1#48,20220521,1
1#49,20220521,1
1#54,20220521,1
1#57,20220521,1
1#59,20220521,1
1#60,20220521,1
1#64,20220521,1
1#66,20220521,1
1#70,20220521,1
1#71,20220521,1
1#80,20220521,1
1#83,20220521,1
1#85,20220521,1
1#89,20220521,1
1#91,20220521,1
1#93,20220521,1
1#2,20220522,1
1#12,20220522,1
1#14,20220522,1
1#15,20220522,1
1#16,20220522,1
1#17,20220522,1
1#22,20220522,1
1#30,20220522,1
1#31,20220522,1
1#32,20220522,1
1#33,20220522,1
1#35,20220522,1
1#39,20220522,1
1#42,20220522,1
1#43,20220522,1
1#48,20220522,1
1#51,20220522,1
1#52,20220522,1
1#53,20220522,1
1#57,20220522,1
1#63,20220522,1
1#68,20220522,1
1#72,20220522,1
1#75,20220522,1
1#78,20220522,1
1#85,20220522,1
1#6,20220523,1
1#8,20220523,1
1#11,20220523,1
1#18,20220523,1
1#21,20220523,1
1#23,20220523,1
1#24,20220523,1
1#25,20220523,1
1#26,20220523,1
1#28,20220523,1
1#29,20220523,1
1#32,20220523,1
1#38,20220523,1
1#42,20220523,1
1#47,20220523,1
1#48,20220523,1
1#49,20220523,1
1#50,20220523,1
1#55,20220523,1
1#56,20220523,1
1#58,20220523,1
1#62,20220523,1
1#67,20220523,1
1#73,20220523,1
1#79,20220523,1
1#85,20220523,1
1#6,20220524,1
1#8,20220524,1
1#11,20220524,1
1#18,20220524,1
1#21,20220524,1
1#23,20220524,1
1#24,20220524,1
1#25,20220524,1
1#26,20220524,1
1#28,20220524,1
1#29,20220524,1
1#32,20220524,1
1#38,20220524,1
1#42,20220524,1
1#47,20220524,1
1#48,20220524,1
1#49,20220524,1
1#50,20220524,1
1#55,20220524,1
1#56,20220524,1
1#58,20220524,1
1#62,20220524,1
1#67,20220524,1
1#74,20220524,1
1#79,20220524,1
1#85,20220524,1
1#6,20220525,1
1#8,20220525,1
1#11,20220525,1
1#18,20220525,1
1#21,20220525,1
1#23,20220525,1
1#24,20220525,1
1#25,20220525,1
1#26,20220525,1
1#28,20220525,1
1#29,20220525,1
1#32,20220525,1
1#38,20220525,1
1#42,20220525,1
1#47,20220525,1
1#48,20220525,1
1#49,20220525,1
1#50,20220525,1
1#55,20220525,1
1#56,20220525,1
1#58,20220525,1
1#62,20220525,1
1#67,20220525,1
1#74,20220525,1
1#79,20220525,1
1#85,20220525,1
1#6,20220526,1
1#8,20220526,1
1#11,20220526,1
1#18,20220526,1
1#21,20220526,1
1#23,20220526,1
1#24,20220526,1
1#25,20220526,1
1#26,20220526,1
1#28,20220526,1
1#29,20220526,1
1#32,20220526,1
1#38,20220526,1
1#42,20220526,1
1#47,20220526,1
1#48,20220526,1
1#49,20220526,1
1#50,20220526,1
1#55,20220526,1
1#56,20220526,1
1#58,20220526,1
1#62,20220526,1
1#67,20220526,1
1#74,20220526,1
1#79,20220526,1
1#85,20220526,1
1#3,20220527,1
1#6,20220527,1
1#8,20220527,1
1#11,20220527,1
1#18,20220527,1
1#21,20220527,1
1#23,20220527,1
1#24,20220527,1
1#25,20220527,1
1#26,20220527,1
1#28,20220527,1
1#29,20220527,1
1#36,20220527,1
1#38,20220527,1
1#42,20220527,1
1#47,20220527,1
1#48,20220527,1
1#49,20220527,1
1#56,20220527,1
1#58,20220527,1
1#61,20220527,1
1#62,20220527,1
1#74,20220527,1
1#81,20220527,1
1#82,20220527,1
1#84,20220527,1
1#85,20220527,1
1#87,20220527,1
1#88,20220527,1
1#90,20220527,1
1#92,20220527,1
1#4,20220528,1
1#5,20220528,1
1#7,20220528,1
1#8,20220528,1
1#9,20220528,1
1#13,20220528,1
1#19,20220528,1
1#20,20220528,1
1#24,20220528,1
1#25,20220528,1
1#27,20220528,1
1#30,20220528,1
1#34,20220528,1
1#37,20220528,1
1#41,20220528,1
1#42,20220528,1
1#48,20220528,1
1#49,20220528,1
1#54,20220528,1
1#57,20220528,1
1#59,20220528,1
1#60,20220528,1
1#64,20220528,1
1#66,20220528,1
1#70,20220528,1
1#71,20220528,1
1#80,20220528,1
1#83,20220528,1
1#85,20220528,1
1#89,20220528,1
1#91,20220528,1
1#93,20220528,1
1#2,20220529,1
1#12,20220529,1
1#14,20220529,1
1#15,20220529,1
1#16,20220529,1
1#17,20220529,1
1#22,20220529,1
1#30,20220529,1
1#31,20220529,1
1#32,20220529,1
1#33,20220529,1
1#35,20220529,1
1#39,20220529,1
1#42,20220529,1
1#43,20220529,1
1#48,20220529,1
1#51,20220529,1
1#52,20220529,1
1#53,20220529,1
1#57,20220529,1
1#63,20220529,1
1#68,20220529,1
1#72,20220529,1
1#75,20220529,1
1#78,20220529,1
1#85,20220529,1
1#6,20220530,1
1#8,20220530,1
1#11,20220530,1
1#18,20220530,1
1#21,20220530,1
1#23,20220530,1
1#24,20220530,1
1#25,20220530,1
1#26,20220530,1
1#28,20220530,1
